benchmark_id,architecture,driver,repetition,rows,offset,page_size,offset_us,keyset_us,first_id,offset_stable,keyset_stable
BM-03,Win32,SQLite,1,100000,90000,50,983,88,280000,False,True
BM-03,Win32,SQLite,2,100000,90000,50,1267,100,280000,False,True
BM-03,Win32,SQLite,3,100000,90000,50,973,80,280000,False,True
BM-03,Win32,SQLite,4,100000,90000,50,925,79,280000,False,True
BM-03,Win32,SQLite,5,100000,90000,50,1020,80,280000,False,True
BM-03,Win32,FB,1,100000,90000,50,99982,1191,280000,False,True
BM-03,Win32,FB,2,100000,90000,50,90800,1344,280000,False,True
BM-03,Win32,FB,3,100000,90000,50,95349,1239,280000,False,True
BM-03,Win32,FB,4,100000,90000,50,100372,1409,280000,False,True
BM-03,Win32,FB,5,100000,90000,50,99687,1385,280000,False,True
BM-03,Win64,SQLite,1,100000,90000,50,1013,79,280000,False,True
BM-03,Win64,SQLite,2,100000,90000,50,973,80,280000,False,True
BM-03,Win64,SQLite,3,100000,90000,50,1087,108,280000,False,True
BM-03,Win64,SQLite,4,100000,90000,50,978,77,280000,False,True
BM-03,Win64,SQLite,5,100000,90000,50,901,74,280000,False,True
BM-03,Win64,FB,1,100000,90000,50,101362,1514,280000,False,True
BM-03,Win64,FB,2,100000,90000,50,100696,1096,280000,False,True
BM-03,Win64,FB,3,100000,90000,50,77668,1032,280000,False,True
BM-03,Win64,FB,4,100000,90000,50,88513,1220,280000,False,True
BM-03,Win64,FB,5,100000,90000,50,94684,1301,280000,False,True
