benchmark_id,architecture,driver,repetition,rows,local_fetch_ms,local_filter_ms,remote_ms,result_rows
BM-04,Win32,SQLite,1,100,0,0,0,10
BM-04,Win32,SQLite,1,10000,8,4,3,1000
BM-04,Win32,SQLite,1,1000000,731,358,274,100000
BM-04,Win32,SQLite,2,100,0,0,0,10
BM-04,Win32,SQLite,2,10000,5,3,2,1000
BM-04,Win32,SQLite,2,1000000,666,314,250,100000
BM-04,Win32,SQLite,3,100,0,0,0,10
BM-04,Win32,SQLite,3,10000,7,4,3,1000
BM-04,Win32,SQLite,3,1000000,678,359,262,100000
BM-04,Win32,SQLite,4,100,0,0,0,10
BM-04,Win32,SQLite,4,10000,6,3,2,1000
BM-04,Win32,SQLite,4,1000000,736,358,277,100000
BM-04,Win32,SQLite,5,100,0,0,0,10
BM-04,Win32,SQLite,5,10000,7,4,3,1000
BM-04,Win32,SQLite,5,1000000,727,325,247,100000
BM-04,Win32,FB,1,100,10,0,2,10
BM-04,Win32,FB,1,10000,69,7,39,1000
BM-04,Win32,FB,1,1000000,6539,349,3688,100000
BM-04,Win32,FB,2,100,5,0,1,10
BM-04,Win32,FB,2,10000,64,2,37,1000
BM-04,Win32,FB,2,1000000,6438,373,3549,100000
BM-04,Win32,FB,3,100,4,0,0,10
BM-04,Win32,FB,3,10000,57,4,39,1000
BM-04,Win32,FB,3,1000000,6413,355,3662,100000
BM-04,Win32,FB,4,100,6,0,1,10
BM-04,Win32,FB,4,10000,65,3,38,1000
BM-04,Win32,FB,4,1000000,6353,384,3611,100000
BM-04,Win32,FB,5,100,3,0,1,10
BM-04,Win32,FB,5,10000,66,4,37,1000
BM-04,Win32,FB,5,1000000,6421,396,3552,100000
BM-04,Win64,SQLite,1,100,0,0,0,10
BM-04,Win64,SQLite,1,10000,4,2,2,1000
BM-04,Win64,SQLite,1,1000000,548,269,197,100000
BM-04,Win64,SQLite,2,100,0,0,0,10
BM-04,Win64,SQLite,2,10000,5,2,1,1000
BM-04,Win64,SQLite,2,1000000,566,288,222,100000
BM-04,Win64,SQLite,3,100,0,0,0,10
BM-04,Win64,SQLite,3,10000,5,2,2,1000
BM-04,Win64,SQLite,3,1000000,573,299,220,100000
BM-04,Win64,SQLite,4,100,0,0,0,10
BM-04,Win64,SQLite,4,10000,5,2,2,1000
BM-04,Win64,SQLite,4,1000000,580,273,207,100000
BM-04,Win64,SQLite,5,100,0,0,0,10
BM-04,Win64,SQLite,5,10000,5,3,2,1000
BM-04,Win64,SQLite,5,1000000,563,262,203,100000
BM-04,Win64,FB,1,100,197,0,2,10
BM-04,Win64,FB,1,10000,67,6,38,1000
BM-04,Win64,FB,1,1000000,6493,239,3658,100000
BM-04,Win64,FB,2,100,4,0,1,10
BM-04,Win64,FB,2,10000,63,3,35,1000
BM-04,Win64,FB,2,1000000,6464,291,3618,100000
BM-04,Win64,FB,3,100,4,0,0,10
BM-04,Win64,FB,3,10000,65,4,38,1000
BM-04,Win64,FB,3,1000000,6459,337,3613,100000
BM-04,Win64,FB,4,100,5,0,0,10
BM-04,Win64,FB,4,10000,65,2,37,1000
BM-04,Win64,FB,4,1000000,6448,302,3297,100000
BM-04,Win64,FB,5,100,4,0,1,10
BM-04,Win64,FB,5,10000,26,3,14,1000
BM-04,Win64,FB,5,1000000,2627,324,3119,100000
