benchmark_id,architecture,driver,repetition,mode,rows,blob_size,open_us,total_us,bytes,memory_delta
BM-05,Win32,SQLite,1,immediate,100,65536,688,2868,6553600,6770688
BM-05,Win32,SQLite,2,immediate,100,65536,663,2871,6553600,6770688
BM-05,Win32,SQLite,3,immediate,100,65536,656,2934,6553600,6770688
BM-05,Win32,SQLite,4,immediate,100,65536,646,3096,6553600,6770688
BM-05,Win32,SQLite,5,immediate,100,65536,669,3289,6553600,6770688
BM-05,Win32,SQLite,1,deferred,100,65536,368,10430,6553600,7139328
BM-05,Win32,SQLite,2,deferred,100,65536,318,9480,6553600,7139328
BM-05,Win32,SQLite,3,deferred,100,65536,327,9641,6553600,7139328
BM-05,Win32,SQLite,4,deferred,100,65536,328,10114,6553600,7139328
BM-05,Win32,SQLite,5,deferred,100,65536,483,9908,6553600,7139328
BM-05,Win32,SQLite,1,stream,100,65536,314,10046,6553600,7139328
BM-05,Win32,SQLite,2,stream,100,65536,311,9904,6553600,7139328
BM-05,Win32,SQLite,3,stream,100,65536,332,9723,6553600,7139328
BM-05,Win32,SQLite,4,stream,100,65536,298,8820,6553600,7139328
BM-05,Win32,SQLite,5,stream,100,65536,305,9017,6553600,7139328
BM-05,Win32,FB,1,immediate,100,65536,22419,120793,6553600,6987776
BM-05,Win32,FB,2,immediate,100,65536,21717,124629,6553600,6987776
BM-05,Win32,FB,3,immediate,100,65536,25870,143634,6553600,6987776
BM-05,Win32,FB,4,immediate,100,65536,28560,143147,6553600,6987776
BM-05,Win32,FB,5,immediate,100,65536,20979,107295,6553600,6987776
BM-05,Win32,FB,1,deferred,100,65536,3727,155706,6553600,7098368
BM-05,Win32,FB,2,deferred,100,65536,3267,132957,6553600,7098368
BM-05,Win32,FB,3,deferred,100,65536,3285,124252,6553600,7098368
BM-05,Win32,FB,4,deferred,100,65536,3139,130649,6553600,7098368
BM-05,Win32,FB,5,deferred,100,65536,3248,123083,6553600,7098368
BM-05,Win32,FB,1,stream,100,65536,3740,121411,6553600,7098368
BM-05,Win32,FB,2,stream,100,65536,2405,122171,6553600,7098368
BM-05,Win32,FB,3,stream,100,65536,2765,154024,6553600,7098368
BM-05,Win32,FB,4,stream,100,65536,3720,131191,6553600,7098368
BM-05,Win32,FB,5,stream,100,65536,3009,112223,6553600,7098368
BM-05,Win64,SQLite,1,immediate,100,65536,746,2469,6553600,6868992
BM-05,Win64,SQLite,2,immediate,100,65536,709,2736,6553600,6868992
BM-05,Win64,SQLite,3,immediate,100,65536,463,2248,6553600,6868992
BM-05,Win64,SQLite,4,immediate,100,65536,540,2591,6553600,6868992
BM-05,Win64,SQLite,5,immediate,100,65536,667,2683,6553600,6868992
BM-05,Win64,SQLite,1,deferred,100,65536,265,6916,6553600,7208960
BM-05,Win64,SQLite,2,deferred,100,65536,265,6713,6553600,7208960
BM-05,Win64,SQLite,3,deferred,100,65536,401,7362,6553600,7208960
BM-05,Win64,SQLite,4,deferred,100,65536,307,7208,6553600,7208960
BM-05,Win64,SQLite,5,deferred,100,65536,262,7482,6553600,7208960
BM-05,Win64,SQLite,1,stream,100,65536,255,7834,6553600,7208960
BM-05,Win64,SQLite,2,stream,100,65536,305,7677,6553600,7208960
BM-05,Win64,SQLite,3,stream,100,65536,262,6811,6553600,7208960
BM-05,Win64,SQLite,4,stream,100,65536,271,7306,6553600,7208960
BM-05,Win64,SQLite,5,stream,100,65536,278,6529,6553600,7208960
BM-05,Win64,FB,1,immediate,100,65536,19019,90934,6553600,7135232
BM-05,Win64,FB,2,immediate,100,65536,15155,80350,6553600,7135232
BM-05,Win64,FB,3,immediate,100,65536,16064,80517,6553600,7135232
BM-05,Win64,FB,4,immediate,100,65536,18125,83732,6553600,7135232
BM-05,Win64,FB,5,immediate,100,65536,19761,91301,6553600,7135232
BM-05,Win64,FB,1,deferred,100,65536,2365,155513,6553600,7245824
BM-05,Win64,FB,2,deferred,100,65536,2603,134762,6553600,7245824
BM-05,Win64,FB,3,deferred,100,65536,2015,99779,6553600,7245824
BM-05,Win64,FB,4,deferred,100,65536,2001,98985,6553600,7245824
BM-05,Win64,FB,5,deferred,100,65536,3312,140493,6553600,7245824
BM-05,Win64,FB,1,stream,100,65536,3415,152482,6553600,7245824
BM-05,Win64,FB,2,stream,100,65536,2801,110165,6553600,7245824
BM-05,Win64,FB,3,stream,100,65536,2881,151513,6553600,7245824
BM-05,Win64,FB,4,stream,100,65536,3678,127789,6553600,7245824
BM-05,Win64,FB,5,stream,100,65536,3176,147088,6553600,7245824
