driver;architecture;method;count;elapsed_ms;rows_per_second;repetition
SQLite;Win32;line;1;0.721;1386.77;1
SQLite;Win32;line;100;1.557;64213.70;1
SQLite;Win32;line;1000;13.704;72970.86;1
SQLite;Win32;line;10000;67.541;148058.22;1
SQLite;Win32;line;100000;731.884;136633.62;1
FB;Win32;line;1;1.500;666.62;1
FB;Win32;line;100;12.166;8219.83;1
FB;Win32;line;1000;103.511;9660.80;1
FB;Win32;line;10000;1093.974;9140.99;1
FB;Win32;line;100000;13329.265;7502.29;1
SQLite;Win64;line;1;0.401;2493.77;1
SQLite;Win64;line;100;0.808;123762.38;1
SQLite;Win64;line;1000;4.627;216108.75;1
SQLite;Win64;line;10000;44.921;222613.03;1
SQLite;Win64;line;100000;542.587;184302.38;1
FB;Win64;line;1;1.644;608.42;1
FB;Win64;line;100;13.017;7682.44;1
FB;Win64;line;1000;115.046;8692.15;1
FB;Win64;line;10000;1177.135;8495.20;1
FB;Win64;line;100000;14732.424;6787.75;1
