format;architecture;count;write_ms;read_ms;bytes;repetition
binary;Win32;1;0.435;0.159;1475;1
binary;Win32;1;0.349;0.122;1475;2
binary;Win32;1;0.346;0.128;1475;3
binary;Win32;100;0.486;0.287;8688;1
binary;Win32;100;0.444;0.208;8688;2
binary;Win32;100;0.531;0.201;8688;3
binary;Win32;1000;0.723;0.914;76190;1
binary;Win32;1000;0.723;0.894;76190;2
binary;Win32;1000;0.702;0.912;76190;3
binary;Win32;10000;3.607;8.034;769192;1
binary;Win32;10000;3.461;7.856;769192;2
binary;Win32;10000;3.425;8.416;769192;3
binary;Win32;100000;30.820;81.338;7879194;1
binary;Win32;100000;32.342;82.621;7879194;2
binary;Win32;100000;33.638;83.189;7879194;3
xml;Win32;1;2.835;0.563;1611;1
xml;Win32;1;2.911;0.549;1611;2
xml;Win32;1;2.619;0.532;1611;3
xml;Win32;100;3.912;2.014;11971;1
xml;Win32;100;3.693;1.999;11971;2
xml;Win32;100;3.826;1.984;11971;3
xml;Win32;1000;13.281;17.369;109066;1
xml;Win32;1000;13.734;17.382;109066;2
xml;Win32;1000;12.218;16.063;109066;3
xml;Win32;10000;107.106;157.478;1115987;1
xml;Win32;10000;110.678;162.800;1115987;2
xml;Win32;10000;110.627;166.826;1115987;3
xml;Win32;100000;1079.821;1668.642;11446189;1
xml;Win32;100000;1062.610;1588.848;11446189;2
xml;Win32;100000;1030.620;1582.972;11446189;3
json;Win32;1;0.268;0.149;1657;1
json;Win32;1;0.328;0.181;1657;2
json;Win32;1;0.292;0.160;1657;3
json;Win32;100;0.446;0.383;11720;1
json;Win32;100;0.430;0.327;11720;2
json;Win32;100;0.524;0.344;11720;3
json;Win32;1000;1.352;2.079;106115;1
json;Win32;1000;1.358;2.043;106115;2
json;Win32;1000;1.374;2.005;106115;3
json;Win32;10000;11.727;20.513;1086036;1
json;Win32;10000;13.370;22.577;1086036;2
json;Win32;10000;13.746;24.009;1086036;3
json;Win32;100000;219.607;267.326;11146238;1
json;Win32;100000;155.298;233.725;11146238;2
json;Win32;100000;135.671;227.393;11146238;3
binary;Win64;1;0.465;0.160;1475;1
binary;Win64;1;0.389;0.138;1475;2
binary;Win64;1;0.466;0.160;1475;3
binary;Win64;100;0.426;0.209;8688;1
binary;Win64;100;0.559;0.201;8688;2
binary;Win64;100;0.467;0.225;8688;3
binary;Win64;1000;0.976;0.973;76190;1
binary;Win64;1000;0.720;0.885;76190;2
binary;Win64;1000;0.716;0.884;76190;3
binary;Win64;10000;3.719;7.989;769192;1
binary;Win64;10000;3.453;8.648;769192;2
binary;Win64;10000;3.681;7.683;769192;3
binary;Win64;100000;30.173;74.592;7879194;1
binary;Win64;100000;29.980;82.920;7879194;2
binary;Win64;100000;35.118;88.320;7879194;3
xml;Win64;1;3.720;0.658;1611;1
xml;Win64;1;3.816;0.893;1611;2
xml;Win64;1;2.418;0.457;1611;3
xml;Win64;100;3.203;1.674;11971;1
xml;Win64;100;3.272;1.634;11971;2
xml;Win64;100;3.206;1.736;11971;3
xml;Win64;1000;10.341;12.539;109066;1
xml;Win64;1000;9.973;12.775;109066;2
xml;Win64;1000;10.112;14.279;109066;3
xml;Win64;10000;85.836;137.487;1115987;1
xml;Win64;10000;89.186;142.146;1115987;2
xml;Win64;10000;97.889;147.135;1115987;3
xml;Win64;100000;931.424;1425.728;11446189;1
xml;Win64;100000;912.825;1320.188;11446189;2
xml;Win64;100000;865.486;1295.838;11446189;3
json;Win64;1;0.253;0.138;1657;1
json;Win64;1;0.263;0.141;1657;2
json;Win64;1;0.280;0.169;1657;3
json;Win64;100;0.540;0.461;11720;1
json;Win64;100;0.455;0.553;11720;2
json;Win64;100;0.376;0.342;11720;3
json;Win64;1000;1.449;2.163;106115;1
json;Win64;1000;1.345;3.040;106115;2
json;Win64;1000;2.219;4.106;106115;3
json;Win64;10000;10.968;20.291;1086036;1
json;Win64;10000;11.126;21.116;1086036;2
json;Win64;10000;11.632;21.329;1086036;3
json;Win64;100000;113.901;215.729;11146238;1
json;Win64;100000;122.474;213.575;11146238;2
json;Win64;100000;114.455;221.175;11146238;3
