benchmark_id,architecture,driver,repetition,open_us,total_us,initial_rows,rows,memory_delta
BM-02,Win32,SQLite,1,273,73236,64,100000,17174528
BM-02,Win32,SQLite,2,305,69517,64,100000,17174528
BM-02,Win32,SQLite,3,281,74338,64,100000,17174528
BM-02,Win32,SQLite,4,316,70470,64,100000,17174528
BM-02,Win32,SQLite,5,313,97324,64,100000,17174528
BM-02,Win32,SQLite,6,313,72286,64,100000,17174528
BM-02,Win32,SQLite,7,328,97006,64,100000,17174528
BM-02,Win32,SQLite,8,372,74672,64,100000,17174528
BM-02,Win32,SQLite,9,363,74367,64,100000,17174528
BM-02,Win32,SQLite,10,279,74385,64,100000,17174528
BM-02,Win32,FB,1,4917,645081,64,100000,18845696
BM-02,Win32,FB,2,4327,644129,64,100000,18845696
BM-02,Win32,FB,3,5403,650377,64,100000,18845696
BM-02,Win32,FB,4,5160,644446,64,100000,18845696
BM-02,Win32,FB,5,6451,643714,64,100000,18845696
BM-02,Win32,FB,6,5999,660607,64,100000,18821120
BM-02,Win32,FB,7,5005,634248,64,100000,18792448
BM-02,Win32,FB,8,6655,653791,64,100000,18845696
BM-02,Win32,FB,9,6345,662049,64,100000,18845696
BM-02,Win32,FB,10,5525,645008,64,100000,18845696
BM-02,Win64,SQLite,1,351,62490,64,100000,26968064
BM-02,Win64,SQLite,2,357,69698,64,100000,26968064
BM-02,Win64,SQLite,3,355,56834,64,100000,26968064
BM-02,Win64,SQLite,4,406,56972,64,100000,26968064
BM-02,Win64,SQLite,5,321,55936,64,100000,26968064
BM-02,Win64,SQLite,6,343,56963,64,100000,26968064
BM-02,Win64,SQLite,7,303,61218,64,100000,26968064
BM-02,Win64,SQLite,8,309,58727,64,100000,26968064
BM-02,Win64,SQLite,9,324,69131,64,100000,26968064
BM-02,Win64,SQLite,10,339,65403,64,100000,26968064
BM-02,Win64,FB,1,6715,652372,64,100000,27549696
BM-02,Win64,FB,2,7219,653924,64,100000,27549696
BM-02,Win64,FB,3,6151,658529,64,100000,27549696
BM-02,Win64,FB,4,6687,669113,64,100000,27549696
BM-02,Win64,FB,5,6302,647127,64,100000,27508736
BM-02,Win64,FB,6,5543,652812,64,100000,27549696
BM-02,Win64,FB,7,7078,650211,64,100000,27549696
BM-02,Win64,FB,8,6854,653033,64,100000,27549696
BM-02,Win64,FB,9,4655,643733,64,100000,27549696
BM-02,Win64,FB,10,6103,652590,64,100000,27549696
