benchmark_id,architecture,driver,repetition,variant,duration_us,commands,checksum
BM-10,Win32,SQLite,1,n_plus_one,2240,100,450
BM-10,Win32,SQLite,1,batch,269,1,450
BM-10,Win32,SQLite,2,n_plus_one,2062,100,450
BM-10,Win32,SQLite,2,batch,261,1,450
BM-10,Win32,SQLite,3,n_plus_one,2111,100,450
BM-10,Win32,SQLite,3,batch,305,1,450
BM-10,Win32,SQLite,4,n_plus_one,2461,100,450
BM-10,Win32,SQLite,4,batch,313,1,450
BM-10,Win32,SQLite,5,n_plus_one,1956,100,450
BM-10,Win32,SQLite,5,batch,265,1,450
BM-10,Win32,SQLite,6,n_plus_one,2549,100,450
BM-10,Win32,SQLite,6,batch,291,1,450
BM-10,Win32,SQLite,7,n_plus_one,2326,100,450
BM-10,Win32,SQLite,7,batch,279,1,450
BM-10,Win32,SQLite,8,n_plus_one,2078,100,450
BM-10,Win32,SQLite,8,batch,268,1,450
BM-10,Win32,SQLite,9,n_plus_one,1907,100,450
BM-10,Win32,SQLite,9,batch,233,1,450
BM-10,Win32,SQLite,10,n_plus_one,1941,100,450
BM-10,Win32,SQLite,10,batch,234,1,450
BM-10,Win32,FB,1,n_plus_one,75402,100,450
BM-10,Win32,FB,1,batch,5393,1,450
BM-10,Win32,FB,2,n_plus_one,69783,100,450
BM-10,Win32,FB,2,batch,4091,1,450
BM-10,Win32,FB,3,n_plus_one,73635,100,450
BM-10,Win32,FB,3,batch,4987,1,450
BM-10,Win32,FB,4,n_plus_one,63552,100,450
BM-10,Win32,FB,4,batch,4040,1,450
BM-10,Win32,FB,5,n_plus_one,63844,100,450
BM-10,Win32,FB,5,batch,4506,1,450
BM-10,Win32,FB,6,n_plus_one,64686,100,450
BM-10,Win32,FB,6,batch,4947,1,450
BM-10,Win32,FB,7,n_plus_one,61941,100,450
BM-10,Win32,FB,7,batch,4352,1,450
BM-10,Win32,FB,8,n_plus_one,71481,100,450
BM-10,Win32,FB,8,batch,4464,1,450
BM-10,Win32,FB,9,n_plus_one,67776,100,450
BM-10,Win32,FB,9,batch,4652,1,450
BM-10,Win32,FB,10,n_plus_one,66757,100,450
BM-10,Win32,FB,10,batch,4616,1,450
BM-10,Win64,SQLite,1,n_plus_one,2102,100,450
BM-10,Win64,SQLite,1,batch,249,1,450
BM-10,Win64,SQLite,2,n_plus_one,2036,100,450
BM-10,Win64,SQLite,2,batch,257,1,450
BM-10,Win64,SQLite,3,n_plus_one,2096,100,450
BM-10,Win64,SQLite,3,batch,255,1,450
BM-10,Win64,SQLite,4,n_plus_one,2193,100,450
BM-10,Win64,SQLite,4,batch,256,1,450
BM-10,Win64,SQLite,5,n_plus_one,1764,100,450
BM-10,Win64,SQLite,5,batch,244,1,450
BM-10,Win64,SQLite,6,n_plus_one,1831,100,450
BM-10,Win64,SQLite,6,batch,215,1,450
BM-10,Win64,SQLite,7,n_plus_one,1845,100,450
BM-10,Win64,SQLite,7,batch,221,1,450
BM-10,Win64,SQLite,8,n_plus_one,2058,100,450
BM-10,Win64,SQLite,8,batch,254,1,450
BM-10,Win64,SQLite,9,n_plus_one,1808,100,450
BM-10,Win64,SQLite,9,batch,211,1,450
BM-10,Win64,SQLite,10,n_plus_one,2053,100,450
BM-10,Win64,SQLite,10,batch,231,1,450
BM-10,Win64,FB,1,n_plus_one,79217,100,450
BM-10,Win64,FB,1,batch,5238,1,450
BM-10,Win64,FB,2,n_plus_one,78690,100,450
BM-10,Win64,FB,2,batch,5507,1,450
BM-10,Win64,FB,3,n_plus_one,74884,100,450
BM-10,Win64,FB,3,batch,5395,1,450
BM-10,Win64,FB,4,n_plus_one,80675,100,450
BM-10,Win64,FB,4,batch,5271,1,450
BM-10,Win64,FB,5,n_plus_one,83274,100,450
BM-10,Win64,FB,5,batch,5274,1,450
BM-10,Win64,FB,6,n_plus_one,78617,100,450
BM-10,Win64,FB,6,batch,6075,1,450
BM-10,Win64,FB,7,n_plus_one,71442,100,450
BM-10,Win64,FB,7,batch,4546,1,450
BM-10,Win64,FB,8,n_plus_one,67666,100,450
BM-10,Win64,FB,8,batch,5264,1,450
BM-10,Win64,FB,9,n_plus_one,77595,100,450
BM-10,Win64,FB,9,batch,5667,1,450
BM-10,Win64,FB,10,n_plus_one,80496,100,450
BM-10,Win64,FB,10,batch,5201,1,450
