benchmark_id,architecture,driver,repetition,leases,new_us,pooled_us
BM-08,Win32,SQLite,1,10,4088,557
BM-08,Win32,SQLite,2,10,6424,649
BM-08,Win32,SQLite,3,10,4968,708
BM-08,Win32,SQLite,4,10,4913,683
BM-08,Win32,SQLite,5,10,3810,687
BM-08,Win32,SQLite,6,10,4366,662
BM-08,Win32,SQLite,7,10,4792,869
BM-08,Win32,SQLite,8,10,3847,587
BM-08,Win32,SQLite,9,10,4073,587
BM-08,Win32,SQLite,10,10,3847,1236
BM-08,Win32,FB,1,10,1902735,21749
BM-08,Win32,FB,2,10,646196,37313
BM-08,Win32,FB,3,10,652662,37707
BM-08,Win32,FB,4,10,646227,39570
BM-08,Win32,FB,5,10,685803,38087
BM-08,Win32,FB,6,10,716312,44176
BM-08,Win32,FB,7,10,712738,39109
BM-08,Win32,FB,8,10,566847,22969
BM-08,Win32,FB,9,10,660519,41355
BM-08,Win32,FB,10,10,569921,21238
BM-08,Win64,SQLite,1,10,3350,605
BM-08,Win64,SQLite,2,10,2987,533
BM-08,Win64,SQLite,3,10,3885,692
BM-08,Win64,SQLite,4,10,3472,611
BM-08,Win64,SQLite,5,10,3203,586
BM-08,Win64,SQLite,6,10,2838,536
BM-08,Win64,SQLite,7,10,2969,564
BM-08,Win64,SQLite,8,10,4117,630
BM-08,Win64,SQLite,9,10,3407,621
BM-08,Win64,SQLite,10,10,3881,563
BM-08,Win64,FB,1,10,645919,35928
BM-08,Win64,FB,2,10,638042,37179
BM-08,Win64,FB,3,10,626685,35873
BM-08,Win64,FB,4,10,628396,38843
BM-08,Win64,FB,5,10,623044,36044
BM-08,Win64,FB,6,10,618733,35668
BM-08,Win64,FB,7,10,665680,36688
BM-08,Win64,FB,8,10,626518,34074
BM-08,Win64,FB,9,10,455570,22882
BM-08,Win64,FB,10,10,673181,36710
