benchmark_id,architecture,driver,repetition,blocking_us,async_call_us,async_total_us,rows
BM-09,Win32,SQLite,1,90185,1705,129758,100000
BM-09,Win32,SQLite,2,105449,930,137988,100000
BM-09,Win32,SQLite,3,93002,824,109777,100000
BM-09,Win32,SQLite,4,86383,750,104851,100000
BM-09,Win32,SQLite,5,88367,1228,100159,100000
BM-09,Win32,SQLite,6,90669,1035,102328,100000
BM-09,Win32,SQLite,7,92157,1158,111899,100000
BM-09,Win32,SQLite,8,100043,1205,121251,100000
BM-09,Win32,SQLite,9,90257,777,131529,100000
BM-09,Win32,SQLite,10,89161,1167,126195,100000
BM-09,Win32,FB,1,534908,2076,689114,100000
BM-09,Win32,FB,2,713427,1839,733136,100000
BM-09,Win32,FB,3,651011,2216,694829,100000
BM-09,Win32,FB,4,636690,2540,661747,100000
BM-09,Win32,FB,5,652665,1979,673185,100000
BM-09,Win32,FB,6,665158,1971,721706,100000
BM-09,Win32,FB,7,683514,3092,695039,100000
BM-09,Win32,FB,8,641089,1972,660568,100000
BM-09,Win32,FB,9,650149,2136,667784,100000
BM-09,Win32,FB,10,646766,3438,691509,100000
BM-09,Win64,SQLite,1,67869,935,110763,100000
BM-09,Win64,SQLite,2,58276,885,99262,100000
BM-09,Win64,SQLite,3,72185,926,106516,100000
BM-09,Win64,SQLite,4,67086,1761,109803,100000
BM-09,Win64,SQLite,5,62330,6966,103815,100000
BM-09,Win64,SQLite,6,77029,1080,103102,100000
BM-09,Win64,SQLite,7,69538,994,98765,100000
BM-09,Win64,SQLite,8,62439,992,102097,100000
BM-09,Win64,SQLite,9,68912,5617,111786,100000
BM-09,Win64,SQLite,10,67528,1463,112024,100000
BM-09,Win64,FB,1,668506,2396,699441,100000
BM-09,Win64,FB,2,681646,2480,701432,100000
BM-09,Win64,FB,3,655054,2164,675120,100000
BM-09,Win64,FB,4,659987,1949,694618,100000
BM-09,Win64,FB,5,641949,1962,657062,100000
BM-09,Win64,FB,6,681642,4166,732051,100000
BM-09,Win64,FB,7,659695,2014,700315,100000
BM-09,Win64,FB,8,672585,2583,724064,100000
BM-09,Win64,FB,9,695208,2162,692732,100000
BM-09,Win64,FB,10,675091,1850,725763,100000
